sex,length,diameter,height,wholeWeight,shuckedWeight,visceraWeight,shellWeight,age
I,0.665,0.5,0.17,1.2975,0.6035,0.291,0.3595,9
F,0.46,0.365,0.115,0.4485,0.165,0.083,0.17,14
F,0.56,0.445,0.18,0.903,0.3575,0.2045,0.295,9
I,0.395,0.3,0.09,0.279,0.134,0.049,0.075,8
I,0.53,0.4,0.145,0.555,0.1935,0.1305,0.195,9
F,0.62,0.475,0.15,0.9545,0.455,0.1865,0.277,9
M,0.6,0.5,0.16,1.015,0.3995,0.1735,0.33,19
I,0.56,0.435,0.13,0.777,0.354,0.173,0.222,9
F,0.53,0.425,0.13,0.717,0.2115,0.166,0.255,13
F,0.66,0.525,0.18,1.5965,0.7765,0.397,0.3605,10
F,0.595,0.47,0.155,1.121,0.4515,0.178,0.155,11
F,0.62,0.54,0.165,1.139,0.4995,0.2435,0.357,11
I,0.59,0.46,0.145,0.9015,0.419,0.1785,0.26,11
M,0.62,0.505,0.185,1.5275,0.69,0.368,0.35,13
I,0.355,0.255,0.08,0.187,0.078,0.0505,0.058,7
M,0.565,0.445,0.145,0.9255,0.4345,0.212,0.2475,9
F,0.565,0.44,0.155,0.9395,0.4275,0.214,0.27,12
I,0.55,0.445,0.145,0.783,0.3045,0.157,0.265,11
I,0.38,0.275,0.1,0.2255,0.08,0.049,0.085,10
F,0.71,0.575,0.175,1.555,0.6465,0.3705,0.52,15
M,0.65,0.545,0.16,1.2425,0.487,0.296,0.48,15
I,0.395,0.29,0.095,0.3,0.158,0.068,0.078,7
M,0.525,0.41,0.165,0.8005,0.2635,0.1985,0.25,13
F,0.54,0.42,0.145,0.8655,0.4315,0.163,0.2175,10
M,0.7,0.525,0.175,1.7585,0.8745,0.3615,0.47,10
I,0.5,0.38,0.155,0.6675,0.2745,0.156,0.18,12
F,0.525,0.38,0.14,0.6065,0.194,0.1475,0.21,14
F,0.65,0.515,0.215,1.498,0.564,0.323,0.425,16
M,0.555,0.42,0.145,0.8695,0.3075,0.2575,0.25,14
I,0.47,0.355,0.12,0.3685,0.126,0.0835,0.1365,6
F,0.465,0.35,0.11,0.4085,0.165,0.102,0.131,8
F,0.69,0.545,0.205,1.933,0.7855,0.429,0.498,13
I,0.38,0.28,0.095,0.2885,0.165,0.0435,0.067,7
M,0.28,0.21,0.065,0.0905,0.035,0.02,0.03,5
M,0.605,0.49,0.14,0.9755,0.419,0.206,0.315,10
I,0.445,0.355,0.095,0.3615,0.1415,0.0785,0.12,8
F,0.58,0.425,0.15,0.844,0.3645,0.185,0.2705,9
M,0.525,0.365,0.17,0.9605,0.438,0.2225,0.276,10
F,0.64,0.475,0.14,1.0725,0.4895,0.2295,0.31,8
M,0.625,0.505,0.175,1.131,0.5425,0.2265,0.323,8
I,0.47,0.37,0.14,0.4985,0.2095,0.1225,0.145,10
F,0.53,0.41,0.145,0.8255,0.375,0.204,0.245,9
M,0.525,0.4,0.17,0.7305,0.279,0.2055,0.195,11
F,0.67,0.545,0.16,1.5415,0.5985,0.2565,0.495,15
M,0.525,0.405,0.13,0.7185,0.3265,0.1975,0.175,8
I,0.46,0.34,0.1,0.386,0.1805,0.0875,0.0965,8
M,0.675,0.525,0.185,1.587,0.6935,0.336,0.395,13
M,0.55,0.43,0.15,0.8745,0.413,0.1905,0.248,9
F,0.5,0.375,0.14,0.604,0.242,0.1415,0.179,15
F,0.675,0.535,0.16,1.41,0.592,0.3175,0.42,16
M,0.415,0.345,0.135,0.3865,0.128,0.07,0.148,13
M,0.365,0.285,0.085,0.2205,0.0855,0.0515,0.07,9
I,0.47,0.355,0.125,0.499,0.21,0.0985,0.155,8
M,0.58,0.455,0.15,1.114,0.4765,0.2155,0.265,8
M,0.56,0.44,0.13,0.8255,0.2425,0.202,0.285,10
I,0.13,0.095,0.035,0.0105,0.005,0.0065,0.0035,4
M,0.545,0.42,0.12,0.7865,0.403,0.185,0.17,7
I,0.52,0.41,0.14,0.6625,0.2775,0.1555,0.196,11
M,0.545,0.435,0.145,0.9385,0.3685,0.1245,0.345,11
I,0.205,0.155,0.045,0.0495,0.0235,0.011,0.014,3
F,0.51,0.39,0.105,0.612,0.187,0.15,0.195,13
F,0.425,0.335,0.095,0.322,0.1205,0.061,0.125,10
F,0.67,0.53,0.225,1.5615,0.63,0.487,0.3725,11
M,0.595,0.45,0.145,0.959,0.463,0.2065,0.2535,10
M,0.51,0.39,0.125,0.6565,0.262,0.1835,0.175,10
I,0.585,0.45,0.135,0.855,0.3795,0.187,0.26,9
F,0.43,0.325,0.115,0.3865,0.1475,0.1065,0.11,11
F,0.55,0.44,0.155,0.946,0.313,0.1825,0.335,16
M,0.575,0.45,0.155,0.886,0.3605,0.211,0.2575,9
I,0.455,0.355,0.08,0.452,0.2165,0.0995,0.125,9
F,0.58,0.465,0.165,1.1015,0.404,0.2095,0.35,11
I,0.46,0.35,0.11,0.3945,0.1685,0.0865,0.125,9
F,0.66,0.52,0.18,1.514,0.526,0.2975,0.42,19
M,0.555,0.41,0.125,0.599,0.2345,0.1465,0.194,8
F,0.595,0.495,0.185,1.285,0.416,0.224,0.485,13
F,0.595,0.455,0.16,1.04,0.452,0.2655,0.288,9
M,0.725,0.55,0.2,1.51,0.8735,0.4265,0.5085,9
F,0.515,0.425,0.14,0.766,0.304,0.1725,0.255,14
M,0.485,0.41,0.15,0.696,0.2405,0.1625,0.265,13
I,0.46,0.35,0.115,0.4155,0.18,0.098,0.1175,7
F,0.65,0.515,0.195,1.4005,0.5195,0.36,0.44,13
I,0.445,0.33,0.11,0.358,0.1525,0.067,0.1185,8
F,0.68,0.5,0.185,1.741,0.7665,0.3255,0.4685,12
I,0.26,0.215,0.08,0.099,0.037,0.0255,0.045,5
I,0.295,0.22,0.07,0.126,0.0515,0.0275,0.035,6
I,0.36,0.27,0.085,0.196,0.0875,0.035,0.064,4
I,0.24,0.175,0.055,0.0705,0.025,0.014,0.021,5
I,0.47,0.38,0.125,0.4845,0.211,0.1075,0.142,6
M,0.51,0.41,0.155,1.2825,0.569,0.291,0.3795,9
F,0.49,0.385,0.125,0.5395,0.2175,0.128,0.165,11
M,0.475,0.37,0.125,0.5095,0.2165,0.1125,0.165,9
M,0.48,0.365,0.13,0.5305,0.2405,0.127,0.139,8
M,0.55,0.44,0.16,0.985,0.4645,0.201,0.27,8
I,0.595,0.475,0.155,0.984,0.4865,0.184,0.2755,10
I,0.395,0.29,0.095,0.304,0.127,0.084,0.077,6
