,FSC-A,SSC-A,FL1-A,FL2-A,FL3-A,FL4-A,FSC-H,SSC-H,FL1-H,FL2-H,Width,Time,species
0,47325.0,11730.0,311772.0,70873.0,70379.0,0.0,55410.0,13649.0,208324.0,47062.0,103.0,350.0,6
1,15766.0,4417.0,285761.0,64624.0,50408.0,0.0,36950.0,8129.0,238931.0,52847.0,92.0,483.0,6
2,11206.0,3194.0,403584.0,96978.0,73632.0,18.0,33761.0,4810.0,358999.0,86278.0,73.0,224.0,6
3,33577.0,5558.0,258064.0,52010.0,35322.0,0.0,72014.0,10396.0,226185.0,44847.0,89.0,609.0,1
4,5525.0,2417.0,348457.0,64062.0,33637.0,1525.0,19074.0,5938.0,304335.0,55864.0,92.0,182.0,6
5,7188.0,2723.0,185553.0,40069.0,34136.0,380.0,27610.0,4897.0,162948.0,34360.0,73.0,474.0,6
6,41818.0,59327.0,258700.0,52949.0,46342.0,155.0,74512.0,87013.0,211822.0,41936.0,91.0,230.0,6
7,16106.0,2917.0,375687.0,88270.0,58426.0,0.0,55548.0,4943.0,317460.0,73821.0,86.0,327.0,6
8,21847.0,9261.0,125425.0,25515.0,25919.0,0.0,46894.0,14264.0,118225.0,23023.0,67.0,426.0,6
9,1310.0,18642.0,1052533.0,163365.0,54993.0,182.0,30321.0,27077.0,802065.0,124194.0,189.0,293.0,6
10,6205.0,6985.0,313880.0,59120.0,34079.0,1731.0,23414.0,8370.0,259804.0,50598.0,88.0,513.0,6
11,89064.0,15027.0,291445.0,63407.0,75044.0,0.0,196775.0,20026.0,265049.0,55718.0,130.0,197.0,6
12,17432.0,4011.0,277052.0,55919.0,45012.0,0.0,32169.0,3159.0,222922.0,44183.0,133.0,256.0,6
13,19740.0,4301.0,417180.0,90091.0,63253.0,651.0,49683.0,6425.0,368074.0,78567.0,73.0,179.0,6
14,20788.0,3137.0,161121.0,33939.0,34546.0,0.0,42032.0,5850.0,147436.0,29409.0,69.0,272.0,6
15,51711.0,8512.0,262177.0,57263.0,54452.0,1339.0,87857.0,11460.0,210286.0,44525.0,87.0,562.0,1
16,34619.0,21608.0,160685.0,36062.0,42170.0,98.0,62535.0,31554.0,139862.0,29545.0,73.0,176.0,6
17,43501.0,38997.0,360507.0,66414.0,39371.0,0.0,81758.0,55593.0,265597.0,49330.0,86.0,483.0,6
18,78378.0,27801.0,285896.0,57408.0,54929.0,0.0,166845.0,44526.0,275848.0,53425.0,69.0,218.0,6
19,47173.0,5816.0,395618.0,80023.0,61918.0,0.0,94357.0,10157.0,325899.0,65052.0,88.0,232.0,6
20,4250.0,4097.0,304100.0,59380.0,33091.0,0.0,19086.0,8676.0,282800.0,55946.0,71.0,252.0,6
21,8647.0,5490.0,438302.0,87305.0,59871.0,0.0,31044.0,7921.0,312431.0,60596.0,93.0,590.0,1
